station name,price,capture time
Petro-Canada,1.979,2026-03-23 21:08:26
Mobil,1.999,2026-03-23 21:08:26
Domo,1.999,2026-03-23 21:08:26
Chevron,2.029,2026-03-23 21:08:26
Shell,2.029,2026-03-23 21:08:26
Esso,2.029,2026-03-23 21:08:26
Super Save Gas,1.969,2026-03-23 22:08:26
Petro-Canada,1.969,2026-03-23 22:08:26
Mobil,1.999,2026-03-23 22:08:26
Domo,1.999,2026-03-23 22:08:26
Chevron,2.029,2026-03-23 22:08:26
Esso,2.029,2026-03-23 22:08:26
Shell,2.029,2026-03-23 22:08:26
Super Save Gas,1.969,2026-03-23 23:08:26
Petro-Canada,1.969,2026-03-23 23:08:26
Mobil,1.999,2026-03-23 23:08:26
Domo,1.999,2026-03-23 23:08:26
Chevron,2.029,2026-03-23 23:08:26
Esso,2.029,2026-03-23 23:08:26
Super Save Gas,1.969,2026-03-24 02:41:22
Mobil,1.999,2026-03-24 02:41:22
Domo,1.999,2026-03-24 02:41:22
Chevron,2.029,2026-03-24 02:41:22
Shell,2.029,2026-03-24 02:41:22
Petro-Canada,2.049,2026-03-24 02:41:22
Super Save Gas,1.969,2026-03-24 02:41:22
Mobil,1.999,2026-03-24 02:41:22
Domo,1.999,2026-03-24 02:41:22
Chevron,2.029,2026-03-24 02:41:22
Shell,2.029,2026-03-24 02:41:22
Petro-Canada,2.049,2026-03-24 02:41:22
Super Save Gas,1.969,2026-03-24 03:29:58
Mobil,1.999,2026-03-24 03:29:58
Domo,1.999,2026-03-24 03:29:58
Chevron,2.029,2026-03-24 03:29:58
Shell,2.029,2026-03-24 03:29:58
Petro-Canada,2.049,2026-03-24 03:29:58
Super Save Gas,1.969,2026-03-24 03:33:38
Mobil,1.999,2026-03-24 03:33:38
Domo,1.999,2026-03-24 03:33:38
Chevron,2.029,2026-03-24 03:33:38
Shell,2.029,2026-03-24 03:33:38
Petro-Canada,2.049,2026-03-24 03:33:38
Super Save Gas,1.969,2026-03-24 03:39:55
Mobil,1.999,2026-03-24 03:39:55
Domo,1.999,2026-03-24 03:39:55
Chevron,2.029,2026-03-24 03:39:55
Shell,2.029,2026-03-24 03:39:55
Petro-Canada,2.049,2026-03-24 03:39:55
Super Save Gas,1.969,2026-03-24 05:42:04
Mobil,1.999,2026-03-24 05:42:04
Domo,1.999,2026-03-24 05:42:04
Chevron,2.029,2026-03-24 05:42:04
Shell,2.029,2026-03-24 05:42:04
Petro-Canada,2.049,2026-03-24 05:42:04
Super Save Gas,2.129,2026-03-24 07:51:00
Esso,2.139,2026-03-24 07:51:00
Chevron,2.149,2026-03-24 07:51:00
Petro-Canada,2.149,2026-03-24 07:51:00
Super Save Gas,2.109,2026-03-24 09:49:22
Chevron,2.129,2026-03-24 09:49:22
Petro-Canada,2.129,2026-03-24 09:49:22
Esso,2.139,2026-03-24 09:49:22
Mobil,2.149,2026-03-24 09:49:22
Petro-Canada,2.089,2026-03-24 11:45:38
Super Save Gas,2.109,2026-03-24 11:45:38
Mobil,2.109,2026-03-24 11:45:38
Chevron,2.129,2026-03-24 11:45:38
Domo,2.129,2026-03-24 11:45:38
Esso,2.139,2026-03-24 11:45:38
Super Save Gas,2.089,2026-03-24 13:30:14
Chevron,2.109,2026-03-24 13:30:14
Petro-Canada,2.109,2026-03-24 13:30:14
Domo,2.109,2026-03-24 13:30:14
Mobil,2.109,2026-03-24 13:30:14
Super Save Gas,2.089,2026-03-24 15:19:49
Petro-Canada,2.089,2026-03-24 15:19:49
Domo,2.089,2026-03-24 15:19:49
Chevron,2.109,2026-03-24 15:19:49
Mobil,2.109,2026-03-24 15:19:49
Super Save Gas,2.039,2026-03-24 18:07:04
Petro-Canada,2.049,2026-03-24 18:07:04
Domo,2.059,2026-03-24 18:07:04
Mobil,2.059,2026-03-24 18:07:04
Chevron,2.069,2026-03-24 18:07:04
Esso,2.089,2026-03-24 18:07:04
Shell,2.089,2026-03-24 18:07:04
Super Save Gas,1.979,2026-03-24 21:08:42
Petro-Canada,1.979,2026-03-24 21:08:42
Chevron,2.019,2026-03-24 21:08:42
Domo,2.019,2026-03-24 21:08:42
Shell,2.049,2026-03-24 21:08:42
Esso,2.049,2026-03-24 21:08:42
Petro-Canada,1.969,2026-03-24 23:49:19
Super Save Gas,1.979,2026-03-24 23:49:19
Chevron,2.009,2026-03-24 23:49:19
Domo,2.019,2026-03-24 23:49:19
Esso,2.049,2026-03-24 23:49:19
Super Save Gas,1.979,2026-03-25 00:06:06
Petro-Canada,1.979,2026-03-25 00:06:06
Chevron,2.009,2026-03-25 00:06:06
Domo,2.019,2026-03-25 00:06:06
Esso,2.049,2026-03-25 00:06:06
Shell,2.049,2026-03-25 00:06:06
Super Save Gas,1.979,2026-03-25 01:36:45
Petro-Canada,1.979,2026-03-25 01:36:45
Chevron,2.009,2026-03-25 01:36:45
Domo,2.019,2026-03-25 01:36:45
Esso,2.049,2026-03-25 01:36:45
Shell,2.049,2026-03-25 01:36:45
Super Save Gas,1.979,2026-03-25 03:37:34
Petro-Canada,1.979,2026-03-25 03:37:34
Chevron,2.009,2026-03-25 03:37:34
Domo,2.019,2026-03-25 03:37:34
Esso,2.049,2026-03-25 03:37:34
Shell,2.049,2026-03-25 03:37:34
Super Save Gas,1.979,2026-03-25 05:39:20
Petro-Canada,1.979,2026-03-25 05:39:20
Chevron,2.009,2026-03-25 05:39:20
Domo,2.019,2026-03-25 05:39:20
Shell,2.049,2026-03-25 05:39:20
Petro-Canada,1.979,2026-03-25 07:52:34
Chevron,2.009,2026-03-25 07:52:34
Domo,2.019,2026-03-25 07:52:34
Super Save Gas,2.029,2026-03-25 07:52:34
Shell,2.049,2026-03-25 07:52:34
Esso,2.059,2026-03-25 07:52:34
Super Save Gas,2.009,2026-03-25 09:52:26
Chevron,2.029,2026-03-25 09:52:26
Esso,2.029,2026-03-25 09:52:26
Petro-Canada,2.029,2026-03-25 09:52:26
Domo,2.039,2026-03-25 09:52:26
Super Save Gas,2.009,2026-03-25 11:41:26
Petro-Canada,2.009,2026-03-25 11:41:26
Chevron,2.029,2026-03-25 11:41:26
Esso,2.029,2026-03-25 11:41:26
Chevron,2.009,2026-03-25 13:27:36
Super Save Gas,2.009,2026-03-25 13:27:36
Esso,2.009,2026-03-25 13:27:36
Petro-Canada,2.009,2026-03-25 13:27:36
Mobil,2.019,2026-03-25 13:27:36
Super Save Gas,1.999,2026-03-25 15:24:27
Petro-Canada,1.999,2026-03-25 15:24:27
Chevron,2.009,2026-03-25 15:24:27
Domo,2.009,2026-03-25 15:24:27
Esso,2.009,2026-03-25 15:24:27
Shell,2.009,2026-03-25 15:24:27
Super Save Gas,1.939,2026-03-25 18:12:24
Petro-Canada,1.939,2026-03-25 18:12:24
Domo,1.949,2026-03-25 18:12:24
Mobil,1.959,2026-03-25 18:12:24
Chevron,1.979,2026-03-25 18:12:24
Esso,1.979,2026-03-25 18:12:24
Super Save Gas,1.879,2026-03-25 21:23:23
Petro-Canada,1.899,2026-03-25 21:23:23
Chevron,1.919,2026-03-25 21:23:23
Esso,1.919,2026-03-25 21:23:23
Mobil,1.919,2026-03-25 21:23:23
Super Save Gas,1.879,2026-03-25 23:55:19
Petro-Canada,1.899,2026-03-25 23:55:19
Chevron,1.919,2026-03-25 23:55:19
Esso,1.919,2026-03-25 23:55:19
Mobil,1.919,2026-03-25 23:55:19
Super Save Gas,1.879,2026-03-26 01:41:07
Petro-Canada,1.899,2026-03-26 01:41:07
Chevron,1.919,2026-03-26 01:41:07
Esso,1.919,2026-03-26 01:41:07
Mobil,1.919,2026-03-26 01:41:07
Domo,1.919,2026-03-26 01:41:07
Shell,1.959,2026-03-26 01:41:07
Super Save Gas,1.879,2026-03-26 03:41:32
Chevron,1.919,2026-03-26 03:41:32
Esso,1.919,2026-03-26 03:41:32
Petro-Canada,1.919,2026-03-26 03:41:32
Mobil,1.919,2026-03-26 03:41:32
Domo,1.919,2026-03-26 03:41:32
Shell,1.959,2026-03-26 03:41:32
Super Save Gas,1.879,2026-03-26 05:45:37
Chevron,1.919,2026-03-26 05:45:37
Esso,1.919,2026-03-26 05:45:37
Mobil,1.919,2026-03-26 05:45:37
Domo,1.919,2026-03-26 05:45:37
Petro-Canada,1.919,2026-03-26 05:45:37
Shell,1.959,2026-03-26 05:45:37
Super Save Gas,2.069,2026-03-26 07:56:24
Chevron,2.089,2026-03-26 07:56:24
Esso,2.089,2026-03-26 07:56:24
Petro-Canada,2.089,2026-03-26 07:56:24
Super Save Gas,2.069,2026-03-26 09:51:48
Domo,2.079,2026-03-26 09:51:48
Chevron,2.089,2026-03-26 09:51:48
Shell,2.089,2026-03-26 09:51:48
Esso,2.089,2026-03-26 09:51:48
Super Save Gas,2.059,2026-03-26 11:48:57
Chevron,2.069,2026-03-26 11:48:57
Mobil,2.069,2026-03-26 11:48:57
Petro-Canada,2.069,2026-03-26 11:48:57
Domo,2.079,2026-03-26 11:48:57
Super Save Gas,2.039,2026-03-26 13:25:57
Chevron,2.069,2026-03-26 13:25:57
Mobil,2.069,2026-03-26 13:25:57
Domo,2.069,2026-03-26 13:25:57
Esso,2.069,2026-03-26 13:25:57
Petro-Canada,2.069,2026-03-26 13:25:57
Super Save Gas,2.039,2026-03-26 15:16:41
Domo,2.039,2026-03-26 15:16:41
Petro-Canada,2.039,2026-03-26 15:16:41
Chevron,2.059,2026-03-26 15:16:41
Esso,2.069,2026-03-26 15:16:41
Super Save Gas,1.979,2026-03-26 18:12:00
Domo,1.989,2026-03-26 18:12:00
Mobil,1.989,2026-03-26 18:12:00
Petro-Canada,1.999,2026-03-26 18:12:00
Chevron,2.039,2026-03-26 18:12:00
Super Save Gas,1.919,2026-03-26 21:24:21
Domo,1.939,2026-03-26 21:24:21
Petro-Canada,1.939,2026-03-26 21:24:21
Mobil,1.939,2026-03-26 21:24:21
Chevron,1.959,2026-03-26 21:24:21
Esso,1.969,2026-03-26 21:24:21
Super Save Gas,1.919,2026-03-26 23:55:23
Petro-Canada,1.939,2026-03-26 23:55:23
Domo,1.939,2026-03-26 23:55:23
Chevron,1.959,2026-03-26 23:55:23
Esso,1.959,2026-03-26 23:55:23
Shell,1.979,2026-03-26 23:55:23
Mobil,2.009,2026-03-26 23:55:23
Super Save Gas,1.919,2026-03-27 01:38:05
Domo,1.939,2026-03-27 01:38:05
Chevron,1.973,2026-03-27 01:38:05
Shell,1.979,2026-03-27 01:38:05
Mobil,2.009,2026-03-27 01:38:05
Esso,2.049,2026-03-27 01:38:05
Super Save Gas,1.919,2026-03-27 03:36:47
Domo,1.939,2026-03-27 03:36:47
Chevron,1.973,2026-03-27 03:36:47
Shell,1.979,2026-03-27 03:36:47
Mobil,2.009,2026-03-27 03:36:47
Esso,2.049,2026-03-27 03:36:47
Super Save Gas,1.919,2026-03-27 05:36:30
Domo,1.939,2026-03-27 05:36:30
Chevron,1.973,2026-03-27 05:36:30
Shell,1.979,2026-03-27 05:36:30
Mobil,2.009,2026-03-27 05:36:30
Petro-Canada,2.049,2026-03-27 05:36:30
Domo,1.939,2026-03-27 07:43:06
Chevron,1.973,2026-03-27 07:43:06
Shell,1.979,2026-03-27 07:43:06
Mobil,2.009,2026-03-27 07:43:06
Super Save Gas,2.029,2026-03-27 07:43:06
Petro-Canada,2.049,2026-03-27 07:43:06
Super Save Gas,2.029,2026-03-27 09:41:03
Chevron,2.029,2026-03-27 09:41:03
Petro-Canada,2.029,2026-03-27 09:41:03
Domo,2.033,2026-03-27 09:41:03
Mobil,2.049,2026-03-27 09:41:03
Esso,2.049,2026-03-27 09:41:03
Domo,2.009,2026-03-27 11:40:54
Super Save Gas,2.029,2026-03-27 11:40:54
Chevron,2.029,2026-03-27 11:40:54
Petro-Canada,2.029,2026-03-27 11:40:54
Esso,2.049,2026-03-27 11:40:54
Super Save Gas,1.999,2026-03-27 13:24:44
Petro-Canada,1.999,2026-03-27 13:24:44
Chevron,2.009,2026-03-27 13:24:44
Mobil,2.009,2026-03-27 13:24:44
Esso,2.009,2026-03-27 13:24:44
Domo,2.009,2026-03-27 13:24:44
Mobil,1.959,2026-03-27 15:20:10
Esso,1.979,2026-03-27 15:20:10
Petro-Canada,1.979,2026-03-27 15:20:10
Super Save Gas,1.999,2026-03-27 15:20:10
Shell,1.999,2026-03-27 15:20:10
Domo,1.999,2026-03-27 15:20:10
Chevron,2.009,2026-03-27 15:20:10
Super Save Gas,1.929,2026-03-27 18:05:58
Petro-Canada,1.949,2026-03-27 18:05:58
Mobil,1.969,2026-03-27 18:05:58
Domo,1.969,2026-03-27 18:05:58
Chevron,1.979,2026-03-27 18:05:58
Super Save Gas,1.919,2026-03-27 21:08:31
Esso,1.929,2026-03-27 21:08:31
Domo,1.929,2026-03-27 21:08:31
Mobil,1.929,2026-03-27 21:08:31
Petro-Canada,1.929,2026-03-27 21:08:31
Chevron,1.949,2026-03-27 21:08:31
Shell,1.949,2026-03-27 21:08:31
Super Save Gas,1.919,2026-03-27 23:44:14
Petro-Canada,1.919,2026-03-27 23:44:14
Mobil,1.929,2026-03-27 23:44:14
Domo,1.929,2026-03-27 23:44:14
Chevron,1.949,2026-03-27 23:44:14
Shell,1.949,2026-03-27 23:44:14
Super Save Gas,1.919,2026-03-28 01:26:08
Mobil,1.929,2026-03-28 01:26:08
Petro-Canada,1.929,2026-03-28 01:26:08
Domo,1.929,2026-03-28 01:26:08
Chevron,1.949,2026-03-28 01:26:08
Shell,1.949,2026-03-28 01:26:08
Esso,2.039,2026-03-28 01:26:08
Super Save Gas,1.919,2026-03-28 03:20:44
Mobil,1.929,2026-03-28 03:20:44
Petro-Canada,1.929,2026-03-28 03:20:44
Domo,1.929,2026-03-28 03:20:44
Chevron,1.949,2026-03-28 03:20:44
Shell,1.949,2026-03-28 03:20:44
Esso,2.039,2026-03-28 03:20:44
Super Save Gas,1.919,2026-03-28 05:28:47
Mobil,1.929,2026-03-28 05:28:47
Petro-Canada,1.929,2026-03-28 05:28:47
Domo,1.929,2026-03-28 05:28:47
Chevron,1.949,2026-03-28 05:28:47
Shell,1.949,2026-03-28 05:28:47
Esso,2.039,2026-03-28 05:28:47
Esso,2.039,2026-03-28 07:22:11
Chevron,2.099,2026-03-28 07:22:11
Super Save Gas,2.109,2026-03-28 07:22:11
Domo,2.129,2026-03-28 07:22:11
Petro-Canada,2.129,2026-03-28 07:22:11
Mobil,2.129,2026-03-28 07:22:11
Esso,2.039,2026-03-28 09:20:18
Super Save Gas,2.089,2026-03-28 09:20:18
Chevron,2.099,2026-03-28 09:20:18
Petro-Canada,2.109,2026-03-28 09:20:18
Shell,2.129,2026-03-28 09:20:18
Mobil,2.129,2026-03-28 09:20:18
Super Save Gas,2.089,2026-03-28 11:23:35
Petro-Canada,2.089,2026-03-28 11:23:35
Esso,2.089,2026-03-28 11:23:35
Chevron,2.099,2026-03-28 11:23:35
Domo,2.099,2026-03-28 11:23:35
Mobil,2.109,2026-03-28 11:23:35
Super Save Gas,2.069,2026-03-28 13:17:18
Domo,2.079,2026-03-28 13:17:18
Chevron,2.089,2026-03-28 13:17:18
Esso,2.089,2026-03-28 13:17:18
Petro-Canada,2.089,2026-03-28 13:17:18
Super Save Gas,2.069,2026-03-28 15:16:52
Domo,2.079,2026-03-28 15:16:52
Chevron,2.089,2026-03-28 15:16:52
Esso,2.089,2026-03-28 15:16:52
Petro-Canada,2.089,2026-03-28 15:16:52
Shell,2.089,2026-03-28 15:16:52
Super Save Gas,2.019,2026-03-28 18:14:52
Petro-Canada,2.029,2026-03-28 18:14:52
Mobil,2.029,2026-03-28 18:14:52
Domo,2.029,2026-03-28 18:14:52
Chevron,2.059,2026-03-28 18:14:52
Esso,2.059,2026-03-28 18:14:52
Domo,1.979,2026-03-28 21:27:46
Super Save Gas,1.999,2026-03-28 21:27:46
Chevron,2.019,2026-03-28 21:27:46
Petro-Canada,2.019,2026-03-28 21:27:46
Mobil,2.029,2026-03-28 21:27:46
Esso,2.049,2026-03-28 21:27:46
Domo,1.979,2026-03-28 23:51:18
Super Save Gas,1.999,2026-03-28 23:51:18
Petro-Canada,1.999,2026-03-28 23:51:18
Chevron,2.019,2026-03-28 23:51:18
Esso,2.049,2026-03-28 23:51:18
Domo,1.979,2026-03-29 01:27:59
Super Save Gas,1.999,2026-03-29 01:27:59
Petro-Canada,1.999,2026-03-29 01:27:59
Esso,2.049,2026-03-29 01:27:59
Chevron,2.059,2026-03-29 01:27:59
Mobil,2.059,2026-03-29 01:27:59
Domo,1.979,2026-03-29 03:21:25
Super Save Gas,1.999,2026-03-29 03:21:25
Petro-Canada,1.999,2026-03-29 03:21:25
Esso,2.049,2026-03-29 03:21:25
Chevron,2.059,2026-03-29 03:21:25
Mobil,2.059,2026-03-29 03:21:25
Domo,1.979,2026-03-29 05:29:12
Super Save Gas,1.999,2026-03-29 05:29:12
Petro-Canada,1.999,2026-03-29 05:29:12
Esso,2.049,2026-03-29 05:29:12
Chevron,2.059,2026-03-29 05:29:12
Mobil,2.059,2026-03-29 05:29:12
Domo,1.979,2026-03-29 07:24:22
Petro-Canada,1.999,2026-03-29 07:24:22
Esso,2.049,2026-03-29 07:24:22
Chevron,2.059,2026-03-29 07:24:22
Mobil,2.059,2026-03-29 07:24:22
Shell,2.089,2026-03-29 07:24:22
Petro-Canada,1.999,2026-03-29 09:22:01
Chevron,2.059,2026-03-29 09:22:01
Esso,2.059,2026-03-29 09:22:01
Mobil,2.059,2026-03-29 09:22:01
Shell,2.089,2026-03-29 09:22:01
Super Save Gas,2.149,2026-03-29 09:22:01
Domo,2.159,2026-03-29 09:22:01
Super Save Gas,2.069,2026-03-29 11:25:28
Mobil,2.089,2026-03-29 11:25:28
Shell,2.089,2026-03-29 11:25:28
Esso,2.099,2026-03-29 11:25:28
Petro-Canada,2.129,2026-03-29 11:25:28
Domo,2.139,2026-03-29 11:25:28
Chevron,2.169,2026-03-29 11:25:28
Super Save Gas,2.069,2026-03-29 13:18:58
Petro-Canada,2.069,2026-03-29 13:18:58
Chevron,2.089,2026-03-29 13:18:58
Domo,2.089,2026-03-29 13:18:58
Esso,2.099,2026-03-29 13:18:58
Mobil,2.119,2026-03-29 13:18:58
Super Save Gas,2.069,2026-03-29 15:18:42
Petro-Canada,2.069,2026-03-29 15:18:42
Domo,2.079,2026-03-29 15:18:42
Chevron,2.089,2026-03-29 15:18:42
Esso,2.089,2026-03-29 15:18:42
Mobil,2.119,2026-03-29 15:18:42
Super Save Gas,2.039,2026-03-29 18:16:04
Domo,2.049,2026-03-29 18:16:04
Petro-Canada,2.049,2026-03-29 18:16:04
Mobil,2.059,2026-03-29 18:16:04
Chevron,2.069,2026-03-29 18:16:04
Esso,2.069,2026-03-29 18:16:04
Super Save Gas,1.999,2026-03-29 21:35:01
Petro-Canada,2.019,2026-03-29 21:35:01
Chevron,2.039,2026-03-29 21:35:01
Esso,2.039,2026-03-29 21:35:01
Domo,2.039,2026-03-29 21:35:01
Mobil,2.059,2026-03-29 21:35:01
Super Save Gas,1.999,2026-03-30 00:14:12
Petro-Canada,1.999,2026-03-30 00:14:12
Chevron,2.039,2026-03-30 00:14:12
Esso,2.039,2026-03-30 00:14:12
Domo,2.039,2026-03-30 00:14:12
Mobil,2.059,2026-03-30 00:14:12
Super Save Gas,1.999,2026-03-30 02:02:11
Petro-Canada,2.019,2026-03-30 02:02:11
Chevron,2.039,2026-03-30 02:02:11
Esso,2.039,2026-03-30 02:02:11
Domo,2.039,2026-03-30 02:02:11
Mobil,2.059,2026-03-30 02:02:11
Super Save Gas,1.999,2026-03-30 03:54:07
Petro-Canada,2.019,2026-03-30 03:54:07
Chevron,2.039,2026-03-30 03:54:07
Esso,2.039,2026-03-30 03:54:07
Domo,2.039,2026-03-30 03:54:07
Mobil,2.059,2026-03-30 03:54:07
Super Save Gas,1.999,2026-03-30 05:49:32
Petro-Canada,2.019,2026-03-30 05:49:32
Chevron,2.039,2026-03-30 05:49:32
Esso,2.039,2026-03-30 05:49:32
Domo,2.039,2026-03-30 05:49:32
Mobil,2.059,2026-03-30 05:49:32
Super Save Gas,1.999,2026-03-30 07:56:19
Petro-Canada,2.019,2026-03-30 07:56:19
Chevron,2.039,2026-03-30 07:56:19
Domo,2.039,2026-03-30 07:56:19
Mobil,2.059,2026-03-30 07:56:19
Esso,2.099,2026-03-30 07:56:19
Esso,2.099,2026-03-30 09:44:43
Super Save Gas,2.149,2026-03-30 09:44:43
Petro-Canada,2.149,2026-03-30 09:44:43
Chevron,2.169,2026-03-30 09:44:43
Mobil,2.169,2026-03-30 09:44:43
Shell,2.169,2026-03-30 09:44:43
Esso,2.099,2026-03-30 11:43:46
Super Save Gas,2.129,2026-03-30 11:43:46
Mobil,2.129,2026-03-30 11:43:46
Petro-Canada,2.149,2026-03-30 11:43:46
Domo,2.149,2026-03-30 11:43:46
Chevron,2.169,2026-03-30 11:43:46
Esso,2.099,2026-03-30 13:33:34
Super Save Gas,2.129,2026-03-30 13:33:34
Domo,2.129,2026-03-30 13:33:34
Mobil,2.129,2026-03-30 13:33:34
Petro-Canada,2.139,2026-03-30 13:33:34
Chevron,2.149,2026-03-30 13:33:34
Shell,2.149,2026-03-30 13:33:34
Esso,2.099,2026-03-30 15:23:15
Super Save Gas,2.109,2026-03-30 15:23:15
Shell,2.109,2026-03-30 15:23:15
Petro-Canada,2.109,2026-03-30 15:23:15
Domo,2.119,2026-03-30 15:23:15
Chevron,2.129,2026-03-30 15:23:15
Mobil,2.129,2026-03-30 15:23:15
Super Save Gas,2.049,2026-03-30 18:14:00
Petro-Canada,2.059,2026-03-30 18:14:00
Chevron,2.069,2026-03-30 18:14:00
Mobil,2.069,2026-03-30 18:14:00
Domo,2.069,2026-03-30 18:14:00
Shell,2.109,2026-03-30 18:14:00
Super Save Gas,1.999,2026-03-30 21:26:23
Petro-Canada,1.999,2026-03-30 21:26:23
Mobil,2.029,2026-03-30 21:26:23
Domo,2.029,2026-03-30 21:26:23
Chevron,2.039,2026-03-30 21:26:23
Esso,2.049,2026-03-30 21:26:23
Super Save Gas,1.999,2026-03-31 00:00:25
Petro-Canada,1.999,2026-03-31 00:00:25
Mobil,2.029,2026-03-31 00:00:25
Domo,2.029,2026-03-31 00:00:25
Chevron,2.039,2026-03-31 00:00:25
Esso,2.049,2026-03-31 00:00:25
Super Save Gas,1.999,2026-03-31 01:44:52
Petro-Canada,2.019,2026-03-31 01:44:52
Mobil,2.029,2026-03-31 01:44:52
Domo,2.029,2026-03-31 01:44:52
Chevron,2.039,2026-03-31 01:44:52
